timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520083.72,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.74,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.75,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.77,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.78,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.80,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.82,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.83,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.83,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.85,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.86,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.88,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.90,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.91,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.93,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.93,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.94,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.96,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.98,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.99,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.01,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
