timestamp,Vroll,Vpitch,Vyaw,Proll,Ppitch,Pyaw,Pthrottle,x,y,z,Dx,Dy,Dz,Mroll,Mpitch,Myaw,Mode,Croll,Cpitch,Cyaw,Cthrottle,slx,sly,slz,slr,slp,sly,vel_x,vel_fx,vel_y,vel_fy,vel_z,vel_fz,NNslX,NNslY
1479902181.541424,0.4,0.2,227.0,1500.0,1500.0,1500.0,1000.0,-0.053836,-0.133945,0.072806,0.0,0.0,1.8,0.032348,0.09439,-0.060605,0.0,1500,1500,1500,1000,-0.058502,0.696477,0.041009,0.001726,0.481029,-0.006232,-0.0014000000000000123,-0.008221981591640903,0.004199999999998649,-0.01936289462681063,-0.0025000000000011124,0.009653061928980685,1.1022005950517177,0.68733854015561835
1479902181.551401,0.4,0.2,228.0,1500.0,1500.0,1500.0,1000.0,-0.053811,-0.133972,0.072921,0.0,0.0,1.8,0.031448,0.093377,-0.060112,0.0,1500,1500,1500,1000,-0.058453,0.696454,0.041056,0.000291,0.482372,-0.005969,0.0025000000000004186,-0.006077585273312638,-0.0026999999999999247,-0.01603031570144849,0.011500000000000399,0.010022449543184628,1.1026957461440701,0.68615912685267411
1479902181.561412,0.4,0.2,228.0,1500.0,1500.0,1500.0,1000.0,-0.053816,-0.133932,0.072859,0.0,0.0,1.8,0.032109,0.094177,-0.060375,0.0,1500,1500,1500,1000,-0.058466,0.696461,0.041065,0.000713,0.482465,-0.006572,-0.0005000000000005,-0.004962068218650211,0.004000000000001225,-0.012024252561158546,-0.0062000000000006494,0.0067779596345475725,1.1026835880124337,0.68617765240437467
1479902181.571319,0.4,0.2,228.0,1500.0,1500.0,1500.0,1000.0,-0.053803,-0.133965,0.072928,0.0,0.0,1.8,0.031533,0.093345,-0.06046,0.0,1500,1500,1500,1000,-0.058483,0.696451,0.041069,0.000669,0.481878,-0.006301,0.0013000000000006062,-0.0037096545749200475,-0.0033000000000005247,-0.010279402048926942,0.0069000000000013495,0.006802367707638328,1.1026936302716035,0.6861570980044015
1479902181.581395,0.4,0.2,228.0,1500.0,1500.0,1500.0,1000.0,-0.05381,-0.133932,0.072858,0.0,0.0,1.8,0.032412,0.094484,-0.060586,0.0,1500,1500,1500,1000,-0.05847,0.696466,0.041076,0.000393,0.482143,-0.006224,-0.0007000000000000062,-0.003107723659936039,0.0033000000000005247,-0.007563521639141449,-0.007000000000000062,0.00404189416611065,1.102681811213168,0.6861769000653215
1479902181.591392,0.4,0.2,228.0,1500.0,1500.0,1500.0,1000.0,-0.053806,-0.133964,0.072916,0.0,0.0,1.8,0.031192,0.093458,-0.06016,0.0,1500,1500,1500,1000,-0.058478,0.696449,0.041057,0.000811,0.482364,-0.006257,0.00039999999999970615,-0.00240617892794889,-0.0032000000000004247,-0.006690817311313244,0.005799999999998862,0.004393515332888292,1.1026926850038892,0.68616027266847068
1479902181.601406,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053821,-0.133925,0.072866,0.0,0.0,1.8,0.032835,0.094353,-0.06059,0.0,1500,1500,1500,1000,-0.058483,0.696454,0.041067,0.00073,0.481961,-0.006501,-0.0015000000000001124,-0.0022249431423591345,0.003900000000001125,-0.004572653849050371,-0.004999999999999449,0.002514812266310744,1.1031473042097759,0.68504178477059741
1479902181.611402,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053815,-0.133979,0.072929,0.0,0.0,1.8,0.032417,0.094522,-0.060398,0.0,1500,1500,1500,1000,-0.058452,0.696442,0.041052,0.000559,0.482308,-0.006462,0.0005999999999999062,-0.0016599545138873263,-0.005399999999999849,-0.004738123079240267,0.006299999999999362,0.0032718498130484674,1.1031611207867376,0.68502143172327656
1479902181.621409,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053802,-0.133961,0.072917,0.0,0.0,1.8,0.032337,0.09417,-0.060608,0.0,1500,1500,1500,1000,-0.05847,0.696465,0.041067,0.000506,0.482093,-0.006218,0.0012999999999999123,-0.0010679636111098785,0.0017999999999990246,-0.0034304984633924084,-0.0011999999999998123,0.0023774798504388114,1.1031536331703107,0.68502386788690395
1479902181.631401,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.0538,-0.133979,0.07294,0.0,0.0,1.8,0.032485,0.092009,-0.05987,0.0,1500,1500,1500,1000,-0.058486,0.69644,0.041054,0.00049,0.482117,-0.006193,0.00020000000000020002,-0.0008143708888878629,-0.0017999999999990246,-0.0031043987707137315,0.0023000000000009124,0.002361983880351232,1.1031585110710314,0.68501665382593468
1479902181.641424,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053828,-0.133951,0.072803,0.0,0.0,1.8,0.031302,0.093344,-0.060228,0.0,1500,1500,1500,1000,-0.058493,0.696496,0.041025,0.00145,0.480827,-0.006432,-0.0028000000000000247,-0.0012114967111102953,0.0028000000000000247,-0.0019235190165709803,-0.013699999999999823,-0.0008504128957189791,1.1031439516936783,0.68505363675224973
1479902181.651451,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053825,-0.133939,0.072855,0.0,0.0,1.8,0.032443,0.092047,-0.059848,0.0,1500,1500,1500,1000,-0.058475,0.696451,0.041059,0.000524,0.482172,-0.006399,0.0003000000000003,-0.0009091973688881762,0.0011999999999984245,-0.0012988152132570995,0.005199999999999649,0.00035966968342474666,1.1031486846901,0.68504327681774546
1479902181.661429,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053825,-0.133941,0.072811,0.0,0.0,1.8,0.033186,0.094435,-0.060605,0.0,1500,1500,1500,1000,-0.058469,0.696443,0.041057,0.000804,0.482273,-0.006015,0.0,-0.000727357895110541,-0.00020000000000020002,-0.0010790521706057197,-0.004400000000000237,-0.0005922642532602501,1.1031429460590894,0.68505251731141814
1479902181.671428,0.4,0.2,229.0,1500.0,1500.0,1500.0,1000.0,-0.053815,-0.133966,0.072904,0.0,0.0,1.8,0.033131,0.094484,-0.06044,0.0,1500,1500,1500,1000,-0.0585,0.696496,0.041015,0.00159,0.480688,-0.007114,0.0009999999999996123,-0.00038188631608851036,-0.0024999999999997247,-0.0013632417364845208,0.009299999999999586,0.001386188597391717,1.1031560595980823,0.68502821252962809
1479902181.681439,0.4,0.2,230.0,1500.0,1500.0,1500.0,1000.0,-0.053801,-0.133984,0.072909,0.0,0.0,1.8,0.032426,0.094485,-0.060541,0.0,1500,1500,1500,1000,-0.058504,0.696481,0.041029,0.001972,0.481105,-0.00616,0.0014000000000000123,-2.5509052870805826e-05,-0.0017999999999990246,-0.0014505933891874215,0.0005000000000005,0.0012089508779134736,1.1035971675662783,0.68389883163050857
1479902181.691788,0.4,0.2,230.0,1500.0,1500.0,1500.0,1000.0,-0.053808,-0.133969,0.072923,0.0,0.0,1.8,0.031371,0.093422,-0.060421,0.0,1500,1500,1500,1000,-0.058482,0.696443,0.041047,0.00048,0.482275,-0.006503,-0.0007000000000000062,-0.0001604072422966459,0.0014999999999987246,-0.0008604747113501923,0.0014000000000000123,0.0012471607023307814,1.1035990651298586,0.68389855475770034
1479902181.701455,0.4,0.2,230.0,1500.0,1500.0,1500.0,1000.0,-0.053819,-0.13396,0.072868,0.0,0.0,1.8,0.032508,0.094353,-0.060586,0.0,1500,1500,1500,1000,-0.058479,0.696453,0.041053,0.000737,0.481982,-0.006328,-0.0010999999999997123,-0.0003483257938372592,0.0009000000000009001,-0.0005083797690799737,-0.005499999999999949,-0.00010227143813536471,1.1035934567453041,0.68391309508467901
