timestamp,Vroll,Vpitch,Vyaw,Proll,Ppitch,Pyaw,Pthrottle,x,y,z,Dx,Dy,Dz,Mroll,Mpitch,Myaw,Mode,Croll,Cpitch,Cyaw,Cthrottle,slx,sly,slz,slr,slp,sly,vel_x,vel_fx,vel_y,vel_fy,vel_z,vel_fz
1478703673.545615,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866162,0.015376,0.069376,0.0,0.0,1.7,0.026084,0.079635,-0.117332,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0009000000000036756,0.052078776241193336,0.001899999999999992,0.0012458804751665832,0.0014000000000000123,0.004250833438312442
1478703673.555537,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866184,0.015335,0.069345,0.0,0.0,1.7,0.02776,0.079124,-0.116884,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.002199999999996649,0.042103020992954,-0.0041000000000001105,0.0001767043801332445,-0.003099999999998937,0.002780666750650166
1478703673.565714,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866153,0.015368,0.069418,0.0,0.0,1.7,0.026949,0.08009,-0.117158,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0031000000000003247,0.033062416794363135,0.0033000000000000043,0.0008013635041065965,0.007299999999998974,0.0036845334005199274
1478703673.575632,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866173,0.015358,0.069353,0.0,0.0,1.7,0.026308,0.079973,-0.117342,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.002000000000002,0.026849933435490907,-0.0009999999999999593,0.0004410908032852853,-0.006499999999999562,0.00164762672041603
1478703673.585634,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866155,0.015379,0.069375,0.0,0.0,1.7,0.026746,0.079981,-0.117141,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.001799999999996249,0.021119946748393476,0.0021000000000000185,0.0007728726426282318,0.0022000000000008124,0.0017581013763329865
1478703673.59563,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866189,0.015347,0.069354,0.0,0.0,1.7,0.026391,0.079772,-0.117058,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.003399999999997849,0.01757595739871435,-0.0032000000000000778,-2.1701885897430122e-05,-0.0021000000000007124,0.0009864811010662467
1478703673.605624,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.86616,0.015364,0.069365,0.0,0.0,1.7,0.026386,0.079897,-0.117057,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0028999999999945736,0.013480765918972565,0.0016999999999999654,0.000322638491282049,0.0010999999999997123,0.0010091848808529398
1478703673.615626,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866177,0.015349,0.06935,0.0,0.0,1.7,0.026403,0.079883,-0.11705,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0016999999999933735,0.011124612735176728,-0.0014999999999999389,-4.188920697434861e-05,-0.0015000000000001124,0.0005073479046823294
1478703673.625341,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866124,0.015368,0.069382,0.0,0.0,1.7,0.026403,0.079883,-0.11705,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.005299999999996974,0.007839690188141988,0.001899999999999992,0.00034648863442051953,0.0032000000000004247,0.0010458783237459485
1478703673.635337,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866124,0.015368,0.069382,0.0,0.0,1.7,0.026403,0.079883,-0.11705,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.0062717521505135905,0.0,0.0002771909075364156,0.0,0.0008367026589967588
1478703673.645337,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866124,0.015368,0.069382,0.0,0.0,1.7,0.026403,0.079883,-0.11705,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.005017401720410873,0.0,0.00022175272602913249,0.0,0.0006693621271974071
1478703673.656188,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866124,0.015368,0.069382,0.0,0.0,1.7,0.027753,0.079058,-0.117105,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.004013921376328698,0.0,0.000177402180823306,0.0,0.0005354897017579256
1478703673.665594,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866143,0.015381,0.069417,0.0,0.0,1.7,0.026668,0.079732,-0.117279,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0018999999999991246,0.0035911371010627835,0.0013000000000000858,0.00040192174465866195,0.0035000000000007248,0.0011283917614064855
1478703673.6757,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866201,0.015331,0.069331,0.0,0.0,1.7,0.026576,0.080014,-0.117088,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.005800000000000249,0.004032909680850277,-0.005000000000000143,-0.0006784626042730991,-0.008600000000000274,-0.0008172865908748666
1478703673.685362,-0.9,-1.8,301.0,1500.0,1500.0,1500.0,1000.0,0.866134,0.015372,0.069373,0.0,0.0,1.7,0.026576,0.080014,-0.117088,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.006700000000003925,0.0018863277446794363,0.0041000000000001105,0.0002772299165815427,0.004200000000000037,0.00018617072730011427
1478703673.695352,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866134,0.015372,0.069373,0.0,0.0,1.7,0.026576,0.080014,-0.117088,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.001509062195743549,0.0,0.00022178393326523416,0.0,0.00014893658184009142
1478703673.705351,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866134,0.015372,0.069373,0.0,0.0,1.7,0.026576,0.080014,-0.117088,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.0012072497565948392,0.0,0.00017742714661218734,0.0,0.00011914926547207314
1478703673.715354,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866134,0.015372,0.069373,0.0,0.0,1.7,0.026576,0.080014,-0.117088,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.0009657998052758713,0.0,0.00014194171728974987,0.0,9.531941237765851e-05
1478703673.726146,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866134,0.015372,0.069373,0.0,0.0,1.7,0.026845,0.079614,-0.117149,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.000772639844220697,0.0,0.0001135533738317999,0.0,7.625552990212681e-05
1478703673.73578,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866147,0.015361,0.069367,0.0,0.0,1.7,0.028408,0.078988,-0.117158,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0013000000000040757,0.0008781118753773728,-0.0011000000000000593,-0.00012915730093457194,-0.0006000000000006,-5.899557607841857e-05
1478703673.745703,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866159,0.015362,0.06941,0.0,0.0,1.7,0.028001,0.078513,-0.117468,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0012000000000012,0.0009424895003021383,0.00010000000000010001,-8.332584074763754e-05,0.004300000000000137,0.0008128035391372927
1478703673.7557,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866181,0.015342,0.069389,0.0,0.0,1.7,0.026514,0.079546,-0.117486,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.002199999999996649,0.0011939916002410406,-0.002000000000000092,-0.00046666067259812843,-0.0020999999999993246,0.00023024283130996918
1478703673.765703,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866154,0.015347,0.069359,0.0,0.0,1.7,0.026832,0.07993,-0.117365,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0026999999999999247,0.00041519328019284756,0.0004999999999999796,-0.00027332853807850676,-0.0030000000000002247,-0.0004158057349520697
1478703673.77538,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866173,0.015362,0.069343,0.0,0.0,1.7,0.026832,0.07993,-0.117365,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0018999999999991246,0.000712154624154103,0.0015000000000001124,8.133716953721712e-05,-0.0016000000000002124,-0.0006526445879616982
1478703673.786,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866173,0.015362,0.069343,0.0,0.0,1.7,0.026636,0.079918,-0.11732,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.0005697236993232824,0.0,6.50697356297737e-05,0.0,-0.0005221156703693585
1478703673.795711,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866189,0.015336,0.069362,0.0,0.0,1.7,0.026345,0.079549,-0.117349,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0016000000000016001,0.000775778959458946,-0.002599999999999998,-0.00046794421149618073,0.0018999999999991246,-3.769253629566183e-05
1478703673.805654,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866149,0.015358,0.069364,0.0,0.0,1.7,0.026798,0.080251,-0.116842,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.004000000000004,-0.00017937683243364336,0.002199999999999945,6.564463080304452e-05,0.00020000000000020002,9.84597096351054e-06
1478703673.815736,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866161,0.015347,0.069353,0.0,0.0,1.7,0.026535,0.079859,-0.117261,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0012000000000012,9.649853405332536e-05,-0.0011000000000000593,-0.00016748429535757623,-0.0010999999999997123,-0.00021212322322913406
1478703673.825735,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866144,0.015386,0.069367,0.0,0.0,1.7,0.026422,0.08012,-0.116919,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0016999999999933735,-0.00026280117275601447,0.003900000000000084,0.0006460125637139557,0.0014000000000000123,0.0001103014214166952
1478703673.835661,-0.9,-1.8,300.0,1500.0,1500.0,1500.0,1000.0,0.866173,0.015358,0.069347,0.0,0.0,1.7,0.026347,0.079669,-0.117326,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0028999999999945736,0.00036975906179410314,-0.0028000000000000247,-4.318994902884044e-05,-0.0019999999999992246,-0.00031175886286648874
1478703673.845814,-0.9,-1.8,299.0,1500.0,1500.0,1500.0,1000.0,0.866149,0.015383,0.069371,0.0,0.0,1.7,0.02811,0.079232,-0.117155,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0024000000000024,-0.00018419275056519757,0.0025000000000000716,0.00046544804077694197,0.0023999999999996247,0.00023059290970673394
